,antecedents,consequents,support,confidence,lift
4,frozenset({'Poverty_pct_change'}),frozenset({'Population_pct_change'}),0.04938271604938271,0.6153846153846154,6.875331564986738
5,frozenset({'Population_pct_change'}),frozenset({'Poverty_pct_change'}),0.04938271604938271,0.5517241379310345,6.8753315649867375
2,frozenset({'Commute Time_pct_change'}),frozenset({'Population_pct_change'}),0.027777777777777776,0.18,2.0110344827586206
3,frozenset({'Population_pct_change'}),frozenset({'Commute Time_pct_change'}),0.027777777777777776,0.3103448275862069,2.011034482758621
6,frozenset({'Commute Time_pct_change'}),frozenset({'Income_pct_change'}),0.024691358024691357,0.16,2.16
7,frozenset({'Income_pct_change'}),frozenset({'Commute Time_pct_change'}),0.024691358024691357,0.3333333333333333,2.16
8,frozenset({'Commute Time_pct_change'}),frozenset({'Poverty_pct_change'}),0.018518518518518517,0.12,1.4953846153846153
9,frozenset({'Poverty_pct_change'}),frozenset({'Commute Time_pct_change'}),0.018518518518518517,0.23076923076923078,1.4953846153846155
0,frozenset({'Income_pct_change'}),frozenset({'Population_pct_change'}),0.015432098765432098,0.20833333333333334,2.327586206896552
1,frozenset({'Population_pct_change'}),frozenset({'Income_pct_change'}),0.015432098765432098,0.1724137931034483,2.327586206896552
