,Population_pct_change,Income_pct_change,Home Value_pct_change,Commute Time_pct_change,Poverty_pct_change
1,True,True,True,True,True
2,True,False,False,False,True
3,True,True,True,False,True
4,False,True,True,True,True
5,False,False,True,True,False
6,True,True,True,False,True
7,True,True,True,True,True
8,True,True,True,True,True
9,True,False,True,0.0,True
10,True,True,True,True,True
11,True,True,True,0.0,True
12,True,True,True,False,True
13,,,,,
14,True,False,False,False,True
15,True,True,True,True,True
16,False,False,False,False,True
17,True,True,True,True,True
18,True,True,True,True,True
19,False,True,True,True,False
20,True,True,True,False,True
21,True,True,True,True,True
22,True,False,True,False,True
23,False,True,True,True,False
24,True,True,True,0.0,True
25,False,False,True,True,True
26,,,,,
27,True,True,False,False,False
28,True,True,True,False,True
29,True,True,True,False,True
30,True,True,True,False,False
31,False,False,True,True,False
32,True,True,True,True,True
33,True,True,True,False,False
34,False,True,True,False,True
35,False,True,True,False,False
36,False,True,True,True,True
37,False,True,True,0.0,True
38,True,True,True,False,True
39,,,,,
40,True,True,True,False,True
41,False,True,False,True,False
42,True,False,True,True,True
43,True,True,True,False,True
44,True,True,True,True,True
45,False,True,True,True,False
46,False,True,True,True,False
47,False,True,True,False,False
48,False,False,True,True,False
49,True,True,True,False,True
50,True,True,True,0.0,False
51,False,True,True,False,True
52,,,,,
53,True,True,False,False,True
54,True,True,True,True,True
55,True,True,False,True,True
56,True,True,True,True,True
57,True,True,True,True,True
58,False,True,True,0.0,False
59,True,True,True,True,False
60,True,True,True,True,True
61,True,False,True,True,True
62,True,True,True,False,True
63,True,True,True,0.0,True
64,True,True,True,False,True
65,,,,,
66,True,True,False,False,True
67,True,True,True,True,False
68,True,True,False,False,False
69,False,False,False,False,True
70,False,False,False,False,True
71,True,True,True,True,True
72,True,True,False,False,True
73,False,False,True,True,True
74,True,True,True,True,True
75,False,False,True,True,True
76,True,True,False,False,True
77,False,False,True,True,True
78,,,,,
79,True,False,True,True,True
80,True,True,False,True,True
81,False,True,True,True,False
82,False,False,True,True,False
83,True,False,True,True,True
84,False,True,True,False,True
85,True,True,True,False,True
86,True,False,True,False,True
87,False,True,True,True,True
88,True,True,True,False,True
89,True,True,True,0.0,True
90,True,True,True,True,True
91,,,,,
92,True,True,False,False,True
93,True,False,False,True,True
94,True,True,False,False,True
95,True,True,True,False,True
96,True,True,True,0.0,True
97,True,True,True,False,True
98,True,True,True,True,False
99,True,True,True,True,True
100,False,True,True,True,True
101,True,True,True,True,True
102,True,True,True,0.0,True
103,False,True,True,True,True
104,,,,,
105,True,True,True,True,True
106,False,False,True,False,True
107,True,True,True,True,True
108,True,True,True,True,True
109,True,True,True,False,True
110,False,True,True,False,True
111,True,True,True,False,False
112,False,True,True,0.0,False
113,False,True,True,False,False
114,True,True,True,0.0,True
115,True,True,True,0.0,False
116,False,True,True,False,False
117,,,,,
118,False,True,True,False,False
119,True,True,False,True,True
120,True,True,False,True,True
121,False,False,False,False,True
122,True,True,True,False,False
123,True,False,True,False,True
124,True,True,True,False,False
125,True,True,True,True,False
126,True,True,True,0.0,True
