,Population_pct_change,Income_pct_change,Home Value_pct_change,Commute Time_pct_change,Poverty_pct_change
1,5.35,2.09,1.28,1.83,1.38
2,1.4,-7.34,-1.71,-0.9,1.25
3,2.51,2.84,3.8,-3.17,2.18
4,-0.63,10.83,5.88,4.21,0.49
5,-2.81,-0.11,3.92,2.24,-0.5
6,5.73,11.87,8.6,-0.44,2.55
7,0.02,4.34,4.15,1.76,3.03
8,1.11,8.66,2.86,4.33,3.6
9,0.49,-12.39,11.91,0.0,2.89
10,5.17,11.88,13.96,2.07,5.39
11,3.35,6.74,17.1,0.0,3.42
12,1.61,5.4,6.87,-5.69,1.74
13,,,,,
14,0.85,-1.46,-1.54,-2.22,3.39
15,7.27,7.6,1.74,6.36,3.79
16,-3.65,-6.91,-4.02,-1.71,0.08
17,3.26,1.13,3.43,4.78,3.65
18,1.88,7.44,11.3,4.15,0.6
19,-1.16,0.68,2.84,1.2,-0.27
20,2.83,6.73,6.2,-0.79,1.77
21,6.72,12.86,4.36,4.37,6.09
22,7.39,-7.91,4.23,-3.8,6.41
23,-10.18,5.25,5.74,5.14,-6.56
24,3.08,3.15,15.41,0.0,2.78
25,-0.79,-9.66,9.64,7.14,1.04
26,,,,,
27,0.7,5.81,-0.58,-1.98,-0.91
28,2.72,4.4,3.14,-4.45,1.75
29,5.27,10.31,12.5,-2.12,0.62
30,3.48,0.65,11.68,-0.87,-1.62
31,-2.84,-0.23,13.58,0.87,-0.07
32,2.42,12.93,19.26,1.3,3.28
33,0.36,9.99,15.58,-0.43,-0.28
34,-3.06,18.8,15.85,-0.86,1.67
35,-8.72,16.67,13.19,-0.87,-6.88
36,-2.95,14.7,8.14,2.18,2.15
37,-2.64,21.41,25.51,0.0,1.72
38,2.71,20.82,15.22,-2.56,5.81
39,,,,,
40,4.46,1.41,2.67,-4.66,3.13
41,-4.68,1.38,-0.52,1.78,-4.31
42,6.99,-1.28,3.82,3.93,6.81
43,2.08,4.66,3.52,-2.1,0.33
44,2.6,4.82,6.32,1.29,2.92
45,-2.38,6.96,7.14,9.32,-2.15
46,-0.4,4.91,11.78,2.71,-0.17
47,-2.29,6.32,9.05,-1.51,-5.07
48,-3.27,-0.58,8.86,3.07,-0.85
49,11.55,4.88,7.66,-2.6,22.49
50,1.3,7.08,14.05,0.0,-0.27
51,-2.78,3.43,13.86,-3.05,0.42
52,,,,,
53,6.55,2.56,-0.25,-1.36,3.79
54,2.61,2.11,1.62,1.03,2.04
55,1.14,4.71,-0.58,4.44,2.02
56,2.43,5.98,4.86,0.98,2.92
57,0.26,6.58,3.37,0.97,2.89
58,-1.45,2.95,7.12,0.0,-0.76
59,0.12,4.61,7.79,3.21,-0.05
60,3.77,0.76,3.56,1.86,2.18
61,1.33,-2.22,3.68,3.05,4.12
62,9.71,2.7,6.94,-5.92,10.92
63,0.28,13.39,22.27,0.0,2.24
64,1.87,6.06,9.63,-10.06,4.56
65,,,,,
66,10.13,10.13,-6.64,-6.64,1.83
67,9.17,9.17,1.68,1.68,-1.8
68,5.69,5.69,-4.88,-4.88,-0.89
69,-0.98,-0.98,-4.87,-4.87,3.8
70,-8.14,-8.14,-2.52,-2.52,10.07
71,0.94,0.94,12.99,12.99,10.62
72,10.86,10.86,-0.67,-0.67,16.95
73,-2.36,-2.36,6.02,6.02,9.32
74,7.24,7.24,11.57,11.57,4.54
75,-13.0,-13.0,36.68,36.68,11.03
76,3.69,3.69,-7.24,-7.24,22.48
77,-3.6,-3.6,0.35,0.35,10.41
78,,,,,
79,7.57,-0.05,1.33,12.3,9.35
80,26.12,2.71,-2.27,4.59,9.22
81,-6.82,7.33,3.58,3.38,-5.09
82,-3.53,-0.62,4.58,5.56,-3.74
83,8.01,-1.76,1.82,11.76,6.2
84,-5.22,5.47,11.76,-8.31,3.22
85,4.91,16.82,16.26,-3.02,5.16
86,7.39,-0.48,4.68,-2.8,6.41
87,-1.96,13.63,13.66,19.55,7.6
88,9.38,10.24,9.55,-14.75,13.65
89,8.96,26.44,27.39,0.0,10.04
90,9.24,2.51,15.34,6.29,9.74
91,,,,,
92,5.28,0.63,-2.24,-0.32,3.88
93,7.89,-0.3,-0.89,1.63,3.33
94,9.14,2.74,-3.71,-2.88,5.5
95,10.63,5.35,8.54,-1.65,3.61
96,2.56,9.46,10.94,0.0,2.44
97,6.79,12.55,7.18,-1.34,4.37
98,2.36,4.83,10.9,1.7,-0.46
99,1.3,7.99,7.93,7.36,3.12
100,-1.91,21.6,20.09,0.31,1.18
101,1.11,3.2,6.51,2.17,7.52
102,1.93,6.79,17.08,0.0,6.09
103,-1.07,1.82,11.57,0.91,7.2
104,,,,,
105,1.5,0.99,4.73,4.22,1.91
106,-0.07,-4.59,3.1,-3.47,2.53
107,1.01,5.95,8.05,6.59,1.93
108,2.34,5.15,1.72,8.99,0.92
109,1.39,5.72,4.3,-2.58,1.63
110,-0.13,4.08,4.41,-1.06,0.53
111,0.49,10.46,7.22,-1.6,-1.42
112,-2.31,0.56,3.26,0.0,-0.53
113,-0.54,0.74,15.41,-9.78,-0.96
114,8.94,6.09,4.42,0.0,15.69
115,2.52,16.74,16.64,0.0,-0.6
116,-0.82,5.21,13.34,-0.6,-0.8
117,,,,,
118,-2.87,1.86,6.04,-5.6,-3.74
119,1.36,4.11,-7.43,9.32,5.34
120,1.62,4.16,-0.89,1.03,2.45
121,-0.37,-6.89,-0.63,-1.02,3.15
122,0.16,0.22,7.78,-0.26,-1.01
123,4.03,-0.47,1.82,-3.63,0.78
124,5.13,8.72,14.38,-5.38,-1.91
125,2.89,5.85,6.62,1.7,-2.2
126,2.54,7.98,16.26,0.0,1.66
127,20.95,6.24,6.43,-3.07,21.76
128,-0.11,13.11,17.49,0.0,0.52
129,4.87,0.21,5.36,-2.02,4.44
130,,,,,
131,10.98,11.38,6.69,-1.27,11.83
132,4.84,15.58,9.96,3.87,9.7
133,4.62,1.94,15.81,0.0,4.61
134,13.95,5.29,2.16,2.48,7.34
135,4.96,10.81,1.59,13.33,5.68
136,6.4,3.96,6.62,10.16,7.71
137,19.71,-4.26,-8.66,0.0,12.29
138,15.07,9.46,2.92,0.97,9.56
139,9.73,-4.03,11.23,-0.96,7.08
140,-19.68,13.53,3.79,-1.46,-19.72
141,11.5,1.19,17.88,0.0,5.36
142,4.27,4.54,7.18,11.82,9.46
143,,,,,
144,20.32,16.46,4.82,0.57,2.66
145,1.69,-9.44,1.35,-0.57,-8.98
146,3.49,-9.12,-0.27,-17.95,-5.52
147,-17.82,-21.55,0.98,3.47,-1.42
148,18.65,1.96,6.97,-12.08,-10.95
149,13.9,6.73,7.01,12.21,13.51
150,-9.57,10.17,1.62,-7.82,-9.59
151,-5.84,6.39,9.26,1.85,-4.32
152,5.5,-2.7,6.67,7.61,-4.52
153,2.94,9.98,-23.5,11.11,41.51
154,-18.59,6.56,10.64,0.0,-11.09
155,2.98,1.43,-7.08,-5.45,1.54
156,,,,,
157,3.4,1.1,-0.15,6.29,5.68
158,5.1,6.69,4.38,3.85,0.6
159,4.64,-0.39,0.77,-0.57,3.61
160,2.66,5.69,2.81,3.72,2.36
161,1.29,-1.94,5.67,-0.83,2.59
162,7.79,-0.36,6.42,-8.91,6.21
163,1.77,7.02,8.46,-5.2,1.11
164,6.27,7.88,6.21,0.65,5.12
165,20.01,-4.64,6.03,-6.73,12.18
166,20.25,1.44,6.91,-2.41,20.78
167,0.68,13.44,22.03,0.0,3.07
168,5.86,14.75,9.61,2.82,11.28
169,,,,,
170,3.54,-1.05,1.28,3.21,1.07
171,1.71,1.54,0.14,2.72,1.11
172,0.69,5.65,2.86,-1.14,-1.3
173,0.74,1.91,4.88,2.68,-0.5
174,2.12,1.53,4.04,0.0,1.52
175,2.05,6.27,6.98,-2.99,0.18
176,-0.48,3.42,9.8,1.15,-0.26
177,2.1,4.17,6.58,0.0,0.87
178,1.42,-0.25,6.84,-4.18,1.53
179,-2.6,3.64,8.12,-1.98,8.88
180,0.54,12.99,21.0,0.0,1.51
181,1.33,7.84,9.81,-1.21,0.48
182,,,,,
183,3.51,2.98,2.49,2.73,-0.09
184,1.15,5.51,1.32,1.33,-1.15
185,-1.07,-0.5,0.75,-4.37,1.7
186,4.07,-0.46,2.72,-1.83,3.35
187,-0.99,4.12,5.56,1.4,1.05
188,0.24,3.99,11.59,2.29,2.81
189,1.83,7.34,13.53,0.9,4.81
190,3.21,3.15,9.99,2.67,2.65
191,3.23,4.44,17.49,-1.73,5.35
192,0.28,6.37,13.16,-3.08,3.51
193,0.92,13.57,22.39,0.0,2.61
194,-1.16,5.56,15.86,3.64,1.51
195,,,,,
196,8.28,4.58,1.61,1.9,5.42
197,5.49,-9.2,-1.39,1.49,6.08
198,4.97,4.66,-0.85,-3.31,3.83
199,7.26,1.61,2.83,8.37,11.75
200,1.18,-2.28,3.58,-5.96,7.34
201,5.18,5.45,2.12,5.6,10.71
202,-1.0,7.11,11.42,2.12,-1.11
203,2.55,-0.8,1.77,3.11,2.94
204,-5.6,-4.71,1.03,-3.36,2.03
205,77.64,16.15,4.73,-3.13,59.17
206,6.74,9.66,16.1,0.0,6.63
207,0.62,10.75,9.14,-5.38,0.27
208,,,,,
209,4.39,2.44,-2.5,-0.66,-1.32
210,2.46,-6.44,5.03,2.0,-2.59
211,1.45,10.62,11.33,0.0,-0.52
212,1.93,8.53,12.75,3.92,-1.69
213,0.21,11.42,12.24,3.77,-0.07
214,2.04,6.54,-3.47,0.61,3.19
215,2.64,10.52,6.44,-3.01,2.58
216,1.77,5.47,-3.01,4.35,2.03
217,-3.73,10.06,-5.91,3.57,-2.88
218,-2.27,-0.06,6.53,-1.15,2.76
219,0.42,15.74,14.25,0.0,8.78
220,0.9,9.24,27.13,-3.49,6.6
